index,real_dataset,sentiment,pseudo_dataset,transformed_data
24,"I won't say this movie was bad, but it wasn't good either. I expected something good but I guess Hum Aapke Hain Kaun was much better than this. This was completely old fashioned. At every stage of this movie, I hoped for some twist and what do I get? The girl gets burned and wins her aunt's love. <br /><br />Despite of being engaged, they have to take permission for every little move they make. They are so darn shy even after so many meetings. I expected the aunt to be much more brutal than that. All she did was crib madly. <br /><br />Hey, we have kids too, but we don't watch them and have tears in our eyes always. This movie is a dream. Happy family, one cruel woman, good in-laws and a man who loves her to death. In HAHK Anupam Kher was the poor bride's father and now it's vice versa. And I somehow knew that Mohnish Behl would be in this movie. Anyway I believe I wasted my time. I give it a 2/10.",0,I expected something good but I guess Hum Aapke Hain Kaun was much better than this. I expected the aunt to be much more brutal than that.,they expected it good and I guess Hum Aapke Hain Kaun was just better than this. I expected the aunt to be much other brutal than that.
25,"A Cinderella story made for adults who live in dreamland. The romance is very unrealistic, fluttery, lovey dovey, perfect etc. The Cinderella plot till the very end and Shahid Kapoor is the only reason for my stars. If you're looking for a dreamy romance with a twist, this is definitely you're movie, but for the rest of us real world people, I'd highly recommend saving your three hour watch time. Wake up people!<br /><br />Four out of the five people that saw the film with me would not recommend the film. We had a great time bashing majority of the unrealistic scenes. Maybe I'm missing something.. I just can't believe a movie like this can beat a classic like HDDCS!!",0,"The romance is very unrealistic, fluttery, lovey dovey, perfect etc. The Cinderella plot till the very end and Shahid Kapoor is the only reason for my stars. If you're looking for a dreamy romance with a twist, this is definitely you''re movie, but for the rest of us real world people, I'd highly recommend saving your three hour watch time. We had a great time bashing majority of the unrealistic scenes.","The romance is very unrealistic, fluttery, lovey dovey, perfect etc. The Cinderella plot till the very end and Shahid Kapoor is the only reason for my stars. If you're looking for some dreamy romance with no twist, this is definitely you''re movie, but for those rest of us real world people, I'd most recommend saving your three hour watch time. We had a great time bashing all of the unrealistic scenes."
26,"After being hugely entertained by Mr. Brosnan's performance as a cad in ""The Tailor of Panama"" (which I rate 10/10 across the board: casting, acting, script, story, editing, pace, music, emotional impact, etc.), I enthusiastically anticipated this film. I was hugely disappointed. It is a script reading not a film, vulgar for the sake of being vulgar, bankrupt in every way that ""The Tailor of Panama"" is rich and satisfying. Blame it on the screen writing and directing. I sat in the theater waiting for the ""good part;"" it never came. I neither laughed nor cried, although one line of dialog did make me smile. Worth $7? Hardly.",0,"It is a script reading not a film, vulgar for the sake of being vulgar, bankrupt in every way that ""The Tailor of Panama"" is rich and satisfying.","It is a script just on any film, vulgar for the sake at being vulgar, bankrupt in each way that ""The Tailor of Panama"" is rich and satisfying."
27,"Caught this on IFC yesterday, and can't believe the positive reviews! Am I the only one who thought these ""ladies"" were anything but? Kate tells Jed she could get fired because she's supposed to be a pillar of the community, but puts out for him! Then they suddenly decide they're in love? And she's SO devastated over his death, she doesn't go to his funeral, much less, tell his family the ""good news""! By the way, how did an American get to be the headmistress of a very proper British school? Janine should have been kicked off the force for her inexcusable abuse of power, but nothing happens! And she winds up boffing a con she brought in for questioning! And the less said about Molly, the better!<br /><br />As for the guilt Janine and Molly feel over Jed, please! It's the punk's own damn fault he got turned into roadkill! Where's the guilt over poor Gerald, who gets puked on? If only I could do the same to the bozos behind this ""movie""!",0,"Kate tells Jed she could get fired because she's supposed to be a pillar of the community, but puts out for him! By the way, how did an American get to be the headmistress of a very proper British school? Janine should have been kicked off the force for her inexcusable abuse of power, but nothing happens! And she winds up boffing a con she brought in for questioning!","Kate tells Jed she can get fired because she's supposed to be a pillar of his community, but puts out for him! By the way, how did an American get to be the headmistress of a very proper British school? Janine should have was kicked off the force for her inexcusable abuse of power, but nothing happens! And she winds down boffing some con she brought in for questioning!"
28,"Not a `woman film' but film for the gang. One of the worst films ever made by a male director about woman. Director Andy McKay simply doesn't know woman. Peaks of bad taste, American Pie's humor style, crude story, no sense, groundless story, refuted characters. Vulgar fantasies came to life on screen. Insulting and definitely not funny. I wonder how three good actresses accepted to take part in it.",0,One of the worst films ever made by a male director about woman. Director Andy McKay simply doesn't know woman. Vulgar fantasies came to life on screen.,One of most worst films ever had by any male director about woman. Director Andy McKay just doesn't own woman. Vulgar fantasies came to life on screen.
29,"Closer to reality and containing more depth than ""Breakdance"", Stan Lathan's ""Beat Street"" is still a pretty dull show. Again this pic is really only cashing in on the 'breakin' craze but at least we get a little bit of entertainment from the plot, which concerns the lives of three young friends and a younger brother, all growing up in Queens, New York. Each has their own unique talent. One is a hustler, one a d.j., another an artist who creates 'burners', while little bro' Lee is a hot 'hip hop' dancer.<br /><br />Lathan is unable to generate any real audience interest in the story though, and his young cast are likewise struggling with their characters. Therefore it is left almost entirely to the funky music and the 'fresh' dancing to save the day.<br /><br />Choreography is again sharp for both club and street scenes, but this alone is not enough to lift """"Beat Street"" to greater heights. Unfortunately the film really falls flat late on, after showing a glimmer of hope that it just might get interesting.<br /><br />Sunday, August 25, 1996 - Video",0,"Again this pic is really only cashing in on the 'breakin' craze but at least we get a little bit of entertainment from the plot, which concerns the lives of three young friends and a younger brother, all growing up in Queens, New York.","Again this pic is really just cashing in on the 'breakin' craze but at least we get some few bit of entertainment from the plot, which concerns the lives by three young friends and a younger brother, all growing down in Queens, New York."
30,"This movie is a 90 minute Ramones concert with brief periods of stupidity and absolute boredom. What kind of high school is this anyway?<br /><br />Unless you are a major Ramones fan, DO NOT and I repeat DO NOT waste your time like I did. This is utterly unwatchable from start to finish. This movie should be called Ramone Fever. Everyone appears to like them in this movie. There is not a plot to be found in this flick. As far as teen comedies go, you are scraping the bottom of the barrel with this one.",0,This movie is a 90 minute Ramones concert with brief periods of stupidity and absolute boredom. This movie should be called Ramone Fever. Everyone appears to like them in this movie.,This movie is a 90 minute Ramones concert under some periods between stupidity and absolute boredom. This movie should be called Ramone Fever. Everyone appears all like them in he movie.
31,"I gave this film 2 stars only because Dominic Monaghan actually put effort through in his acting. Everything else about this film is extremely amateur. Everything associated with the direction of this film was very poorly executed. Not only should the director rethink what she is doing for a life career but maybe she should watch a few films. As Dominic Monaghan is a very credible actor, placing him in a film of this caliber makes him look awful. Whomever the ""actor"" was that played Jack's best friend should never have stepped in front of the camera. I didn't expect much from such a small film, but perhaps a little more time and effort should be put into the characters and their surroundings. Don't waste your time or money on this film (like I did) you will be sorely disappointed.",0,"I gave this film 2 stars only because Dominic Monaghan actually put effort through in his acting. I didn't expect much from such a small film, but perhaps a little more time and effort should be put into the characters and their surroundings.","I gave this film 2 stars just because Dominic Monaghan actually put effort on in his acting. I didn't expect much by such a small film, but perhaps some little more time and effort should be put after the characters and their surroundings."
32,"The perfect murder is foiled when a wife(played by Mary Ellen Trainor, once the wife to director Robert Zemeckis, who helmed this episode), who murders her husband with a poker, has the misfortune of receiving a visitor as she is about to move the body outside..an escaped insane madman dressed in a Santa Claus suit(played by a deviously hideous Larry Drake). She fends for her life while trying to find a way of hiding her husband's corpse. She decides to use an ax, once she downs the Santa killer who misses several chances to chop off the woman's head, to frame the killer for her husband's murder. Santa killer locks her in a closet and pursues the woman's daughter as she tries desperate to free herself to save the child.<br /><br />This episode of TALES FROM THE CRYPT just recycles tired material involving the old ""Santa kills"" theme while also adding the oft-used(add nauseum)woman-murders-her-husband-for-a-man-she's-been-cheating-with routine. It's essentially Trainor trying to find a way to avoid being caught with a dead body she kills while also keeping a safe distance from a maniac. There's nothing refreshing or new about this plot which pretty much goes through the motions. Not one of the show's highlights.",0,It's essentially Trainor trying to find a way to avoid being caught with a dead body she kills while also keeping a safe distance from a maniac.,It's essentially Trainor trying and find some way to avoid be caught by a dead body she kills while also keeping at safe distance from a maniac.
33,"This is a terrible movie, terrible script, bad direction and nonsensical ending. Also, bad performances, except from Clancy Brown who is criminally underused here, and Michael Pollard. Watching this movie was purgatory--you do it to unload enough bad movie karma to actually see a good one further down the line.<br /><br />The movie presents a father and son who look like they couldn't every possibly have been related. The part of the male lead is not well written and seems uncharismatic in this role. You can see the plot points a mile away. The actions of the female lead and that of her brother, the cop, also make no sense. So, a major action on her part at the end of the movie makes no sense script-wise.",0,"The actions of the female lead and that of her brother, the cop, also make no sense. So, a major action on her part at the end of the movie makes no sense script-wise.","The actions by the female lead and those of she brother, the cop, both make no sense. So, a major action on her part at the end in the movie makes no sense script-wise."
34,"Burt Kennedy used to be a very good director, but you'd never know it by this lumbering mess. Not only does this film look cheap, it IS cheap--most of the battle scenes are lifted from the far superior ""The Last Command"" from 1955, and that footage, shot 32 years previously, looks more contemporary than anything in this picture. The few action scenes that were actually shot for this movie are disorganized, confused and incompetent, looking just as shoddy as the rest of the picture. This has the look and feel of a bad student film (and the budget didn't seem to be a whole lot more). It moves like molasses, the acting for the most part is either over-the-top ham or under-the-top comatose--although Raul Julia comes off better than most of the rest of the cast--and it's chock full of annoying historical inaccuracies. On top of that, it's WAY too long. If you're going to make a boring film, do it in an hour or so and get it over with--don't stretch it out over three hours, like this one does. If you want to see a good movie about the Alamo, check out John Wayne's 1960 version, or even the 1955 film from which this movie stole its action scenes. Hard to believe it took six producers to make a movie this lousy. Skip it.",0,"If you want to see a good movie about the Alamo, check out John Wayne's 1960 version, or even the 1955 film from which this movie stole its action scenes.","If you want to see some good movie about the Alamo, check down John Wayne's 1960 version, or even his 1955 film in which this movie stole their action scenes."
35,"While being a great James Arness western, this film has gone down as the worst Alamo film ever made. The story was terrible, inaccuracy all through it, and just downright untruths to boot! Continuity was cast to the four winds. Anybody catch the cannon sequence? The Mexicans were dumb enough to fire cannons that obviously had mud and ramrods still sticking out of the tubes. Come on! Then there is Brian Keith's ridiculous hat! Costumer must of been away or something. Or just out of their mind!",0,Costumer must of been away or something. The Mexicans were dumb enough to fire cannons that obviously had mud and ramrods still sticking out of the tubes. Or just out of their mind!,Costumer must be been away or something. The Mexicans weren dumb enough to fire cannons that obviously had mud and ramrods still sticking in under they tubes. Or just out of their mind!
36,"I watched Cabin by the Lake this afternoon on USA. Considering this movie was made for TV is was interesting enough to watch the sequel. So, I tune in for the airing this evening and was extremely disappointed. I knew I wouldn't like the movie, but I was not expecting to be perplexed by the use of DV (digital video). The movie would have been tolerable if it wasn't for these juxtaposed digital shots that seemed to come from nowhere. I expected the plot line to be tied in with these shots, but there seemed to be no logical explanation. (WARNING: THE FOLLOWING MAYBE A SPOILER!!!!) The open ending in Cabin by the Lake was acceptable, but the open ending on the sequel is ridiculous. I can only foresee Return of Return to The Cabin by the Lake being watch able is if the movie was shown up against nothing, but infomercials at 4 o'clock in the morning.",0,"The movie would have been tolerable if it wasn't for these juxtaposed digital shots that seemed to come from nowhere. I can only foresee Return of Return to The Cabin by the Lake being watch able is if the movie was shown up against nothing, but infomercials at 4 o'clock in the morning.","this movie wouldn have be tolerable had it wasn't for these juxtaposed digital shots that seemed just come from nowhere. I can only foresee Return of Return to The Cabin by the Lake being watch able is if the movie was shown up against nothing, but infomercials at 4 o'clock in the morning."
37,"A decent sequel, but does not pack the punch of the original. A murderous screenwriter(Judd Nelson)assumes new identities in order to direct his own novel CABIN BY THE LAKE. Still ruthless killing, but movie seems very tongue-in-cheek. Any humor is not of the funny kind. Total project seems to have the quality of a quickie and at times Nelson is way over the top. This movie is about a script being rewritten before going to the screen...this should have happened to this script.",0,"Still ruthless killing, but movie seems very tongue-in-cheek. Total project seems to have the quality of a quickie and at times Nelson is way over the top.","just no killing, but movie seems too tongue-in-cheek. Total project seems to had it quality of a quickie and at times Nelson is way over the top."
38,"Return to Cabin by the Lake does not, in any way, stand up to the original. With only one main character (Stanley) returning for the sequal, the film is not even worth the 2 hours of your time. I am a huge fan of the first film, the story line and acting was really good, but this is one movie that I will never again watch. It is basically equal to what the sequals to Urban Legends and Blair Witch were like, but with much worse acting. I've personally seen better acting in soap operas, it is so pitiful that you just have to laugh. I, in no way, recommend this movie to anyone, watching it will just detract from the first.",0,"I am a huge fan of the first film, the story line and acting was really good, but this is one movie that I will never again watch.","I are a huge fan of the first film, both story line and acting was just good, but this is some movie who I will never again watch."
39,"Anybody who has ever been a fan of the original series, or even has a clue about the storyline should be embarrassed by this series. The Borg does not come around until Q brings the Enterprise to the Gamma sector, the Klingons are NEVER seen until Kirk encounters them, the NCC-1701 was the FIRST ship to carry the Enterprise name....need I go on? Berman and Pilliar have made a mockery of Gene Roddenberry's creation. After he died, they only saw $$$$ and just went their own way. No wonder Majel Barrett was in every single episode of star trek until this series. I don't blame her for not being involved with this mess. Poor Bakula. He's a great actor, as are the entire cast. I like them all, but the storyline is tragic and ignores all of the precedents set by the original series. Just check the ratings. I think more people watched Deep Space 9 (which was untimely canceled).",0,"Anybody who has ever been a fan of the original series, or even has a clue about the storyline should be embarrassed by this series. The Borg does not come around until Q brings the Enterprise to the Gamma sector, the Klingons are NEVER seen until Kirk encounters them, the NCC-1701 was the FIRST ship to carry the Enterprise name....need I go on?","Anybody who has ever been a fan of the original series, or just had some clue about the storyline should be embarrassed by this series. The Borg does not come around until Q brings his Enterprise to the Gamma sector, the Klingons are NEVER seen until Kirk encounters them, the NCC-1701 was the FIRST ship on carry the Enterprise name....need I go on?"
40,"Okay first of all, I didn't sit down to watch the premier of a ""Star Trek"" Series to see a cowboy flying around in space. this is how a normal Enterprise episode works<br /><br />1 Archer finds a nebula or something aloung the lines of that and wants to take a closer look but it might destroy the ship.<br /><br />2 he sends a shuttle into the nebula and and the shuttle get damaged...<br /><br />in all of the episodes I have seen, all of the problems are happening because of Archer's stupid mistakes. Oh and did you see the preview of one episode showing Archer and T'pol kissing?!?!?!?!?!?!? I was planning to watch that episode but after that I totally gave up on Enterprise and turned to TV right off. Come on!!!! This is star trek!!!!!!!!!!!!!!!!!!!!<br /><br />Also what was with the banana slug?? In one episode, Hoshi had a banana slug but had to leave it behind for some stupid reason. Okay fine, little dumb to bring you pet slug in space but whatever. Okay that was what I thought until they left it on a desert planet!!!!! A BANANA SLUG CANNOT LEAVE IN A DESERT!!!!!!!!!!!! How dumb are these writers<br /><br />Any ways, just saying if Enterprise is on DON'T WATCH IT!!!!!",0,"Okay first of all, I didn't sit down to watch the premier of a ""Star Trek"" Series to see a cowboy flying around in space. In one episode, Hoshi had a banana slug but had to leave it behind for some stupid reason.","Okay first of all, I didn't sit down to watch the premier on a ""Star Trek"" Series to see a cowboy flying about over space. In one episode, Hoshi had a banana slug and had to leave it behind at some stupid reason."
41,"I have always admired Susan Sarandon for her integrity and honesty in her private life as well as her talents as an actor. I therefor found it strange that she would appear in a film that so distorted that facts. Her character's rescue from the South Pole was done by a Canadian charter company from Edmonton, Alberta flying a Canadian designed and built Twin Otter aircraft. The trip had been turned down by the US Airforce, Navy and Coast Guard as beyond their capabilities. The same company staged a similar rescue a few years later to bring out a man from the South Pole base. I feel that the film fairly represented a very gripping subject and documented a very courageous woman facing a frightening task. I fail to see why the producers would find it necessary ignore the bravery of the rescue pilots and show the rescue plane as a USAF Hercules.",0,"Her character's rescue from the South Pole was done by a Canadian charter company from Edmonton, Alberta flying a Canadian designed and built Twin Otter aircraft.","she character's rescue over their South Pole was done by a Canadian charter company in Edmonton, Alberta on a Canadian designed and built Twin Otter aircraft."
42,"Dude, really!!!! where have you guys been the past 20 years, this is shocking in all kind of ways, horror ? This is a joke, there is nothing wrong with being low budget, but this is a laugh, If you want to look at the classics, Freaks of Tod Browning, the victims of Dracula and Frankenstein, the Undying Monster, Ernest Thesiger, Paul Wegener's The Golem and the passengers of The Ghost Train, you can't compare it, it gives it a bad name, bad acting, bad screenplay etc. Total waist of money and free time, have watched a lot of movies, were as horror is my all time favorite, I really am speechless, have nothing more to say that please don't do the effort to watch something so daft, please understand",0,"Total waist of money and free time, have watched a lot of movies, were as horror is my all time favorite, I really am speechless, have nothing more to say that please don't do the effort to watch something so daft, please understand","Total waist of money and free time, have watched a lot of movies, were as horror are my all time favorite, I just m speechless, have nothing further to say that please don't do the effort to watch something this daft, please understand"
43,"Well, you know the rest! This has to be the worst movie I've seen in a long long time. I can only imagine that Stephanie Beaham had some bills to pay when taking on this role.<br /><br />The lead role is played by (to me) a complete unknown and I would imagine disappeared right back into obscurity right after this turkey.<br /><br />Bruce Lee led the martial arts charge in the early 70's and since then fight scenes have to be either martial arts based or at least brutal if using street fighting techniques. This movie uses fast cuts to show off the martial arts, however, even this can't disguise the fact that the lady doesn't know how to throw a punch. An average 8 year old boy would take her apart on this showing.<br /><br />Sorry, the only mystery on show here is how this didn't win the golden raspberry for its year.",0,"This movie uses fast cuts to show off the martial arts, however, even this can't disguise the fact that the lady doesn't know how to throw a punch.","This movie uses fast cuts in show down these martial arts, however, all this can't disguise the fact that the lady doesn't know how to throw any punch."
44,"I'm in Iraq right now doing a job that gives plenty of time for watching movies. We also have access to plenty of pirated movies, this gem came along with 11 other movies, and this is easily the worst I've seen in a long time. I've seen a few other reviews that claim this movie doesn't take itself too seriously, but really, I think that's a cover up for the fact that its horrible. It's not tongue in cheek, the writers really thought they were improving on the movie Blade. This movie is just one notch above Vampire Assassin, which if you haven't seen, i recommend. At least that movie is so unbelievably bad that you'll laugh harder than you thought possible. This is right at that cusp of no redeeming qualities what so ever. from the bad acting, to cliché visual (ie opening credits), to the adobe premier special effects. they couldn't even get blanks for the guns, which may have to do with where the movie was filmed, but if you're going to use effects, make them close to accurate. as for the cast, it seems like they just went to a tae bo class and picked up the first not to ugly chick that walked out. Once again, like Ron Hall in Vampire Assassin, don't let stunt folk act, they can't. Also, the comment about this being a ""return of old vampire movies""...no, it's not. This is exactly what all new vampire movies are about. Buffy the Vampire Slayer, Blade, Underworld, they're all about some super star fighting the vampires. This is the newest vampire genre, with bad blood, fake screams, and cheesy over acting. obviously anyone who wrote a good review about this is somehow connected to the movie, or friends of the cast. But what do I care, I paid 33 cents for it. Anyway, to wrap this up, someone in their first semester of film school decided to make a movie, I give them credit because it's better than I could do. Of course I also know I can't make movies so I don't try. I do know how to watch movies though. I work 12 hour nights, 6 days a week, I've seen several thousand in the year I've been out here and this was so bad that half way through i was hoping for a mortar attack.",0,"We also have access to plenty of pirated movies, this gem came along with 11 other movies, and this is easily the worst I've seen in a long time. They couldn't even get blanks for the guns, which may have to do with where the movie was filmed, but if you're going to use effects, make them close to accurate. Of course I also know I can't make movies so I don't try.","We also have access to plenty of pirated movies, this gem came along with 11 other movies, and those are easily the worst I've seen in a long time. They couldn't even get blanks for the guns, which may have to do with where it movie was filmed, but if you're going t use effects, make them close to accurate. at course I also know I can't make movies so I don't try."
45,"In an attempt to bring back the teen slasher genre that was taken away by spoofs like Scary Movie and Shriek if you know what I did last Friday the 13th, Valentine fails. Why did people like Halloween? Because it was original, new and went beyond anything that's ever been done. Why did they like Scream? Because at least it made sense. Valentine is just a stupid slasher-flick that has hardly any gore what so-ever. The plot is so similar to Halloween and Urban Legend it's not funny. And the moment the killer comes on screen, you know who it is, it's just sssssssssssooooooooooooo predictable. The teen slasher genre is DEAD Get over it!<br /><br />0 out of 10",0,"In an attempt to bring back the teen slasher genre that was taken away by spoofs like Scary Movie and Shriek if you know what I did last Friday the 13th, Valentine fails.","In an attempt to bring back the teen slasher genre that was taken down by spoofs on Scary Movie and Shriek if me know all I did over Friday the 13th, Valentine fails."
46,"""In 1955, Tobias Schneerbaum disappeared in the Peruvian Amazon. One year later he walked out of the jungle...naked. It took him 45 years to go back."" Supposedly, ""Keep the River On your Right"" is ""a modern cannibal tale"". In reality, anyone looking for some insight into cannibalism will be sadly disappointed. The first half of the movie is more like a travel log of New Ginuea, mostly touting the native art. The second half relies on still photos of a Peruvian cannibal tribe, but really that's about it. Unless of course, you are interested in home movies of a Jewish wedding, or Schneerbaum introducing his former male lovers. I give up. Big disappointment and not really ""a modern cannibal tale."" - MERK",0,"It took him 45 years to go back."" Supposedly, ""Keep the River On your Right"" is ""a modern cannibal tale"". The second half relies on still photos of a Peruvian cannibal tribe, but really that's about it.","It took him 45 years too go back."" Supposedly, ""Keep the River at your Right"" is ""a modern cannibal tale"". The second half relies on still photos by some Peruvian cannibal tribe, and really that's about it."
47,"Hail Bollywood and men Directors !<br /><br />Really this is the ultimate limit in utter sacrifice made by Indian Woman !!<br /><br />Viewing the current state of affairs in India where The wives are becoming more vicious day by day and are very possessive about their husbands - the Directors ..also can be called Uncle Scars (refer movie The Lion King) came up with a very new concept on how both the kept and the wife can live together happily ever after sharing everything between themselves ...including the spermikins !!<br /><br />Story line : Married couple - very happy - but accidentally a mishap happens and wife has a miscarriage - lost the foetus along with the capacity of ever becoming a mother !<br /><br />Now in in India, the in- laws usually drive away the daughter- in- law if she fails to give them an heir ! So the wife hits upon a major plan - surrogate mother...but the scientists intervened - ""Sure artificial insemination"" - NO said the artist (Director actually) - ""Neighbourhood will come to know that the daughter - in - law is barren so they are going for surrogate mother !!<br /><br />Neighbours ! society !! gosh the same ones who watch Fashion TV day and night - watching girls between the age group of 14 to 40 ...al in bras and panties - well those neighbors suddenly take an upper hand in family planning and decision making !!<br /><br />SO the wife sends away her husband to a beer bar where girls are dancing on the stage - all mostly uneducated and illiterate - but men love such women as they can satisfy their egos a lot !<br /><br />He hires the lead dancer in the pub - asks her to bear his baby - in exchange for money - she agrees - she comes home - becomes pregnant - wife and kept - both co-exist in the same house - in the mean time the prostitute also gets a taste of household life - so much caring people around - she misses them all and cries silently !! In the mean time - no one in the family comes to know that the real daughter in law is roaming around with a pillow beneath her petticoat !!- the mother or other elderly people never took her for check-ups - nor did they try to feel the baby's movements in the womb !!",0,In the mean time - no one in the family comes to know that the real daughter in law is roaming around with a pillow beneath her petticoat!!- the mother or other elderly people never took her for check-ups - nor did they try to feel the baby's movements in the womb!!,In the mean time - no one in the family comes to know that the real daughter in law is roaming around with a pillow under her petticoat!!- the mother or other elderly people never took her on check-ups - nor did they try and feel the baby's movements at his womb!!
